City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,luderitz,-26.6481,15.1594,15.13,67,0,2.93,NA,1715060690
1,port-aux-francais,-49.35,70.2167,7.37,91,98,13.59,TF,1715060691
2,konde,-4.95,39.75,27.11,86,92,4.17,TZ,1715060692
3,kandyagash,49.4744,57.4233,15.47,42,2,2.47,KZ,1715060692
4,fonte boa,-2.4959,-66.2662,23.36,100,100,1.54,BR,1715060693
5,berezovyy,51.6667,135.7,13.96,32,7,3.55,RU,1715060694
6,east london,-33.0153,27.9116,26.52,27,0,5.14,ZA,1715060694
7,qaqortoq,60.7167,-46.0333,-1.66,55,1,3.33,GL,1715060695
8,luanda,-8.8368,13.2343,26.0,92,75,2.57,AO,1715060202
9,uturoa,-16.7333,-151.4333,28.01,80,18,8.64,PF,1715060696
10,tiksi,71.6872,128.8694,-0.55,96,91,8.4,RU,1715060697
11,broome,42.2506,-75.833,8.82,84,100,1.24,US,1715060698
12,wotho,10.1657,166.0102,27.67,83,68,8.7,MH,1715060698
13,ushuaia,-54.8,-68.3,1.81,87,75,2.57,AR,1715060675
14,waitangi,-43.9535,-176.5597,8.79,54,81,6.69,NZ,1715060700
15,whitehorse,60.7161,-135.0538,4.12,79,75,5.66,CA,1715060700
16,grytviken,-54.2811,-36.5092,0.18,92,80,1.72,GS,1715060701
17,hawaiian paradise park,19.5933,-154.9731,20.61,95,100,1.54,US,1715060702
18,svetlyy,54.675,20.1347,8.0,71,90,6.62,RU,1715060703
19,jamestown,42.097,-79.2353,11.62,43,0,1.54,US,1715060703
20,papatowai,-46.5619,169.4708,10.36,87,78,4.39,NZ,1715060704
21,bilibino,68.0546,166.4372,-0.86,86,84,1.17,RU,1715060705
22,adamstown,-25.066,-130.1015,21.88,76,72,7.4,PN,1715060706
23,ancud,-41.8697,-73.8203,6.17,87,99,4.81,CL,1715060562
24,concepcion de la sierra,-27.9831,-55.5203,24.24,77,81,3.3,AR,1715060707
25,sittwe,20.15,92.9,31.17,52,100,4.57,MM,1715060708
26,college,64.8569,-147.8028,1.59,90,75,0.0,US,1715060708
27,keila,59.3036,24.4131,4.88,75,20,3.6,EE,1715060710
28,vadso,70.0744,29.7487,-1.91,69,20,6.17,NO,1715060710
29,talnakh,69.4865,88.3972,-7.66,89,97,2.68,RU,1715060711
30,stanley,54.868,-1.6985,8.46,94,75,2.06,GB,1715060712
31,katsuura,35.1333,140.3,20.01,93,100,11.28,JP,1715060713
32,arraial do cabo,-22.9661,-42.0278,23.9,88,0,9.69,BR,1715060714
33,margaret river,-33.95,115.0667,22.51,44,49,2.35,AU,1715060659
34,tofol,5.3248,163.0078,28.38,82,88,7.96,FM,1715060715
35,island harbour,50.724,-1.2758,10.45,75,35,1.34,GB,1715060716
36,bubaque,11.2833,-15.8333,25.94,70,4,3.98,GW,1715060716
37,salekhard,66.53,66.6019,-8.67,92,81,4.92,RU,1715060717
38,ola,59.5833,151.2833,3.41,77,92,4.08,RU,1715060718
39,dadukou,26.5479,101.7054,30.95,28,81,0.91,CN,1715060718
40,saipan,15.1355,145.701,31.39,66,40,6.69,MP,1715060719
41,edinburgh of the seven seas,-37.0676,-12.3116,14.42,73,80,11.21,SH,1715060720
42,kapa'a,22.0752,-159.319,22.02,83,40,7.2,US,1715060720
43,borinskoye,52.4569,39.3713,14.09,80,99,7.25,RU,1715060721
44,tobruk,32.0836,23.9764,18.73,66,0,3.3,LY,1715060722
45,wailua homesteads,22.0669,-159.378,21.23,83,40,7.2,US,1715060722
46,aasiaat,68.7098,-52.8699,-14.29,90,79,2.66,GL,1715060723
47,puerto ayora,-0.7393,-90.3518,23.08,99,19,0.89,EC,1715060724
48,blackmans bay,-43.0167,147.3167,15.14,66,64,1.57,AU,1715060724
49,vilyuchinsk,52.9306,158.4028,1.63,79,68,3.05,RU,1715060725
50,saint croix,17.7397,-64.7388,24.42,91,30,4.55,VI,1715060726
51,manadhoo,5.7667,73.3833,29.16,76,100,2.28,MV,1715060726
52,yellowknife,62.456,-114.3525,10.23,73,40,4.63,CA,1715060727
53,robertsport,6.7533,-11.3686,26.67,86,65,0.89,LR,1715060728
54,isafjordur,66.0755,-23.124,1.9,87,94,4.53,IS,1715060728
55,chinchilla,-26.75,150.6333,23.34,59,84,2.24,AU,1715060729
56,utrik,11.2278,169.8474,27.2,82,78,8.06,MH,1715060730
57,nova sintra,14.8667,-24.7167,23.97,78,0,2.74,CV,1715060730
58,coquimbo,-29.9533,-71.3436,11.85,66,0,2.57,CL,1715060497
59,itaituba,-4.2761,-55.9836,23.53,99,54,0.27,BR,1715060732
60,puerto natales,-51.7236,-72.4875,-3.0,86,15,1.34,CL,1715060700
61,lebu,-37.6167,-73.65,10.3,73,100,5.58,CL,1715060733
62,cannonvale,-20.2833,148.7,22.66,85,75,6.45,AU,1715060734
63,casper,42.8666,-106.3131,6.27,62,100,11.62,US,1715060734
64,klyuchi,52.2667,79.1667,14.6,29,86,5.01,RU,1715060735
65,kodinsk,58.6881,99.1844,7.93,48,100,5.92,RU,1715060736
66,crane,31.3974,-102.3501,23.91,19,82,3.87,US,1715060736
67,costa rica,-23.4167,-54.65,19.85,57,22,2.91,BR,1715060737
68,kiunga,-6.1219,141.2906,30.21,72,80,1.53,PG,1715060737
69,petropavlovsk-kamchatsky,53.0452,158.6483,0.81,78,40,7.0,RU,1715060738
70,queenstown,-31.8976,26.8753,16.77,39,0,2.03,ZA,1715060739
71,tura,25.5198,90.2201,34.13,35,11,2.27,IN,1715060739
72,bako,5.7833,36.5667,20.47,83,98,0.54,ET,1715060740
73,bredasdorp,-34.5322,20.0403,15.01,56,9,1.08,ZA,1715060741
74,cidreira,-30.1811,-50.2056,21.86,76,18,1.95,BR,1715060741
75,miri,4.4148,114.0089,28.08,94,40,1.54,MY,1715060742
76,lihue,21.9789,-159.3672,21.94,78,40,7.2,US,1715060444
77,udachny,66.4167,112.4,-0.31,98,97,11.23,RU,1715060743
78,jebba,9.1333,4.8333,27.92,75,98,2.21,NG,1715060744
79,igarka,67.4667,86.5833,-5.55,84,100,5.81,RU,1715060745
80,eureka,40.8021,-124.1637,9.72,95,94,0.45,US,1715060746
81,la ronge,55.1001,-105.2842,7.14,81,100,4.12,CA,1715060747
82,atafu village,-8.5421,-172.5159,29.83,74,54,3.85,TK,1715060747
83,rongelap,11.1635,166.8941,27.43,83,56,8.97,MH,1715060748
84,bethel,41.3712,-73.414,14.85,87,20,0.0,US,1715060731
85,iwanai,42.9744,140.5089,9.17,95,100,2.67,JP,1715060750
86,boyolangu,-8.1181,111.8935,28.43,73,36,3.91,ID,1715060751
